event_id_no_cnty,event_date,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,region,country,admin1,admin2,admin3,location,latitude,longitude,source,notes,fatalities
40368,30 August 2020,Protests,Protest with intervention,Protesters (Ukraine),LGBT (Ukraine); Police Forces of Ukraine (2019-),Rioters (Ukraine),Traditions and Order; National Corps Party,Europe,Ukraine,Odessa,Odessa Municipality,,Odessa,46.4639,30.7386,Ukraine General Newswire; OSCE SMM-Ukraine; Segodnya; Interfax,"On 30 August 2020, about 30 people held a march in Odessa in support of LGBT rights. About 100 people, including members of Traditions and Order and National Corps, sprayed gas at the marchers and clashed with the police guarding the protesters. Two police officers were wounded, 16 people were arrested. [size=about 130]",0
40401,30 August 2020,Battles,Armed clash,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Donetsk,Marynsky,,Marinka,47.9425,37.505,JFO HQ press centre; Ministry of Defence of Ukraine,"On 30 August 2020, the NAF rebel forces fired small arms at the governmental positions near Marinka, Donetsk.",0
40546,30 August 2020,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Ukraine),,Civilians (Ukraine),,Europe,Ukraine,Donetsk,Donetsk,,Donetsk-Leninskyi,47.9617,37.7734,OSCE SMM-Ukraine,"On 30 August 2020, a civilian man was wounded in an explosion of an unidentified explosive device in Donetsk-Leninskyi.",0
40285,29 August 2020,Battles,Armed clash,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,Donbass People's Militia,Europe,Ukraine,Donetsk,Telmanivsky,,Sosnovskoye,47.2972,37.9076,DPR Armed Forces Press Service,"On 29 August 2020, the Ukrainian Forces fired small arms at the positions of the Donbass People's Militia in the area of Sosnovskoye, Donetsk.",0
40291,29 August 2020,Explosions/Remote violence,Shelling/artillery/missile attack,NAF: United Armed Forces of Novorossiya,,,,Europe,Ukraine,Donetsk,Yasynuvata,,Kamyanka,48.174,37.7863,OSCE SMM-Ukraine,"On 29 August 2020, the OSCE SMM observed a total of 22 explosions involving unknown weapons near Kamyanka.",0
40292,29 August 2020,Explosions/Remote violence,Shelling/artillery/missile attack,NAF: United Armed Forces of Novorossiya,,,,Europe,Ukraine,Donetsk,Kostyantynivsky,,Kleban Byk,48.4253,37.7662,OSCE SMM-Ukraine,"On 29 August 2020, the OSCE SMM observed a total of 13 explosions involving unknown weapons near Kleban Byk.",0
40293,29 August 2020,Battles,Armed clash,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,,Europe,Ukraine,Donetsk,Horlivka Municipality,,Mayorsk,48.3798,38.0067,OSCE SMM-Ukraine,"On 29 August 2020, the OSCE SMM observed a total of 5 bursts of fire involving small arms near Mayorsk.",0
40263,29 August 2020,Riots,Violent demonstration,Rioters (Ukraine),,Civilians (Ukraine),Romani Ethnic Group (Ukraine),Europe,Ukraine,Kharkiv,Balakliia,,Andriivka,49.5451,36.6125,Stop Corruption; Novoye Vremya Ukraine; LIGA.net,"On 29 August 2020, about 500 people came to a Romani camp in Andriivka, Kharkiv, demanding that they move out and accusing them of the rise in crime rates in the district. They threw eggs and stones at the houses, scuffles broke out. The police evacuated the Romani people. [size=about 500]",0
40266,29 August 2020,Protests,Peaceful protest,Protesters (Ukraine),National Corps Party,,,Europe,Ukraine,Lviv,Lviv Municipality,,Lviv,49.8407,24.0305,24 Channel; National Corps,"On 29 August 2020, about 30 people, including members of National Corps, protested outside a police department in Lviv demanding the release of those who attacked the bus with Patriots - For Life members and the prohibition of pro-Russian parties in Ukraine. [size=about 30]",0
40267,29 August 2020,Protests,Peaceful protest,Protesters (Ukraine),National Corps Party,,,Europe,Ukraine,Kiev City,Kiev,,Kiev,50.4496,30.5224,24 Channel; National Corps,"On 29 August 2020, people, including members of National Corps, protested outside a police department in Kiev demanding the release of those who attacked the bus with Patriots - For Life members and the prohibition of pro-Russian parties in Ukraine. [size=no report]",0
40268,29 August 2020,Protests,Peaceful protest,Protesters (Ukraine),National Corps Party,,,Europe,Ukraine,Volyn,Lutsk,,Lutsk,50.7593,25.3424,24 Channel; National Corps,"On 29 August 2020, people, including members of National Corps, protested outside a police department in Lutsk demanding the release of those who attacked the bus with Patriots - For Life members and the prohibition of pro-Russian parties in Ukraine. [size=no report]",0
40269,29 August 2020,Protests,Peaceful protest,Protesters (Ukraine),National Corps Party,,,Europe,Ukraine,Zhytomyr,Zhytomyr,,Zhytomyr,50.2649,28.6767,24 Channel; National Corps,"On 29 August 2020, people, including members of National Corps, protested outside a police department in Zhytomyr demanding the release of those who attacked the bus with Patriots - For Life members and the prohibition of pro-Russian parties in Ukraine. [size=no report]",0
40270,29 August 2020,Protests,Peaceful protest,Protesters (Ukraine),National Corps Party,,,Europe,Ukraine,Vinnytsia,Vinnytsia,,Vinnytsia,49.2296,28.4659,National Corps; 24 Channel,"On 29 August 2020, people, including members of National Corps, protested outside a police department in Vinnytsia demanding the release of those who attacked the bus with Patriots - For Life members and the prohibition of pro-Russian parties in Ukraine. [size=no report]",0
40271,29 August 2020,Protests,Peaceful protest,Protesters (Ukraine),National Corps Party,,,Europe,Ukraine,Kharkiv,Kharkiv,,Kharkiv,49.9808,36.2527,24 Channel; National Corps,"On 29 August 2020, people, including members of National Corps, protested outside a police department in Kharkiv demanding the release of those who attacked the bus with Patriots - For Life members and the prohibition of pro-Russian parties in Ukraine. [size=no report]",0
40272,29 August 2020,Protests,Peaceful protest,Protesters (Ukraine),Labour Group (Ukraine); Teachers (Ukraine),,,Europe,Ukraine,Chernivtsi,Chernivtsi Municipality,,Chernivtsi,48.2915,25.9403,24 Channel; Novoye Vremya Ukraine,"On 29 August 2020, several dozen people, including business owners and teachers, protested in Chernivtsi against possible new restrictions to their work due to the increase in coronavirus cases in the region. [size=several dozen]",0
40283,29 August 2020,Battles,Armed clash,NAF: United Armed Forces of Novorossiya,Donbass People's Militia,Military Forces of Ukraine (2019-),,Europe,Ukraine,Donetsk,Bakhmut,,Zaitseve,48.4292,38.0094,DPR Armed Forces Press Service; Ministry of Defence of Ukraine; JFO HQ press centre,"On 29 August 2020, the NAF rebel forces fired small arms at the governmental positions near Zaitseve, Donetsk. The Ukrainian Forces fired grenade launchers and small arms at the positions of Donbass People's Militia.",0
40275,28 August 2020,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Ukraine),,NAF: United Armed Forces of Novorossiya,,Europe,Ukraine,Donetsk,Donetsk,,Donetsk,48.015,37.8014,Sprotyv,"On 28 August 2020, two NAF rebels died in a landmine explosion at an unspecified location in Donetsk.",2
40260,28 August 2020,Protests,Peaceful protest,Protesters (Ukraine),Students (Ukraine),,,Europe,Ukraine,Kiev City,Kiev,,Kiev-Pecherskyi,50.427,30.5454,Stop Corruption,"On 28 August 2020, students protested outside the Cabinet of Ministers in Kiev-Pecherskyi demanding that the authorities solve the issue around an unlicensed medical college. [size=no report]",0
40257,28 August 2020,Protests,Peaceful protest,Protesters (Ukraine),National Corps Party,,,Europe,Ukraine,Kiev City,Kiev,,Kiev-Pecherskyi,50.427,30.5454,National Corps,"On 28 August 2020, members of National Corps protested outside the Prosecutor General's Office in Kiev-Pecherskyi demanding the resignation of a prosecutor who holds the Russian citizenship. [size=no report]",0
