event_id_no_cnty,event_date,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,region,country,admin1,admin2,admin3,location,latitude,longitude,source,notes,fatalities
38043,05 June 2020,Protests,Peaceful protest,Protesters (Ukraine),Right Sector,,,Europe,Ukraine,Poltava,Kremenchuk,,Kremenchuk,49.068,33.4204,Right Sector,"On 5 June 2020, about dozen people, including members of Right Sector, protested in Kremenchuk, Poltava, demanding resignation of the Minister of Interior Arsen Avakov over failed police reform and lack of investigation into crimes committed by law enforcers. [size=about dozen]",0
38039,05 June 2020,Protests,Peaceful protest,Protesters (Ukraine),Right Sector,,,Europe,Ukraine,Mykolaiv,Mykolaiv,,Mykolaiv,46.9672,32.0183,Right Sector,"On 5 June 2020, about 25 people, including members of Right Sector, protested in Mykolaiv demanding resignation of the Minister of Interior Arsen Avakov over failed police reform and lack of investigation into crimes committed by law enforcers. [size=about 25]",0
38038,05 June 2020,Protests,Peaceful protest,Protesters (Ukraine),Right Sector,,,Europe,Ukraine,Ternopil,Ternopil,,Ternopil,49.5559,25.6056,Right Sector,"On 5 June 2020, people, including members of Right Sector, protested in Ternopil demanding resignation of the Minister of Interior Arsen Avakov over failed police reform and lack of investigation into crimes committed by law enforcers. [size=no report]",0
38044,05 June 2020,Protests,Peaceful protest,Protesters (Ukraine),,,,Europe,Ukraine,Odessa,Odessa Municipality,,Odessa,46.4639,30.7386,Stop Corruption,"On 5 June 2020, people protested in Odessa demanding resignation of the Minister of Interior Arsen Avakov over failed police reform and lack of investigation into crimes committed by law enforcers. [size=no report]",0
38056,05 June 2020,Protests,Peaceful protest,Protesters (Ukraine),Stop Corruption,,,Europe,Ukraine,Kiev City,Kiev,,Kiev-Sviatoshynskyi,50.4696,30.3382,Stop Corruption,"On 5 June 2020, Stop Corruption activists protested outside the Ministry of Infrastructure in Kiev-Sviatoshynskyi against the head of the Ukrainian Danube Shipping Company accusing him of ineffectiveness and corruption. [size=no report]",0
38033,05 June 2020,Riots,Violent demonstration,Rioters (Ukraine),Voice Party; Right Sector; LGBT (Ukraine); Svoboda; Movement of New Forces,,,Europe,Ukraine,Kiev City,Kiev,,Kiev-Pecherskyi,50.427,30.5454,AFP; Stop Corruption; Center for Civil Liberties; Liveuamap; Focus; Right Sector; Ukrinform; Hromadske Radio; Novoye Vremya Ukraine,"On 5 June 2020, about 500 people, including members of Voice party, Right Sector, KyivPride LGBT activists and other human rights activists, Svoboda and Movement of New Forces, participated in riots outside of the Parliament in Kiev-Pecherskyi demanding the resignation of the Minister of Interior Arsen Avakov over failed police reform and lack of investigation into crimes committed by law enforcers. The rioters set fire to a car they bought and painted as a police car, two rioters attempted to set themselves on fire. [size=about 500]",0
38057,05 June 2020,Protests,Peaceful protest,Protesters (Ukraine),Stop Corruption,,,Europe,Ukraine,Kiev City,Kiev,,Kiev-Shevchenkivskyi,50.4646,30.4655,Stop Corruption,"On 5 June 2020, members of Stop Corruption and other activists protested outside the Ministry of Justice and the State Service of Geology and Mineral Resources in Kiev-Shevchenkivskyi against illegal takeover of Kherson companies and corruption. [size=no report]",0
38034,05 June 2020,Protests,Peaceful protest,Protesters (Ukraine),,,,Europe,Ukraine,Rivne,Rivne,,Rivne,50.6231,26.2274,Stop Corruption; Center for Civil Liberties,"On 5 June 2020, people protested in Rivne demanding resignation of the Minister of Interior Arsen Avakov over failed police reform and lack of investigation into crimes committed by law enforcers. [size=no report]",0
38035,05 June 2020,Protests,Peaceful protest,Protesters (Ukraine),Right Sector,,,Europe,Ukraine,Dnipropetrovsk,Kryvyi Rih,,Kryvyi Rih,47.9093,33.3933,Stop Corruption; Right Sector; Center for Civil Liberties,"On 5 June 2020, about 25-30 people, including members of Right Sector, protested in Kryvyi Rih, Dnipropetrovsk, demanding resignation of the Minister of Interior Arsen Avakov over failed police reform and lack of investigation into crimes committed by law enforcers. [size=about 25-30]",0
38036,05 June 2020,Protests,Peaceful protest,Protesters (Ukraine),,,,Europe,Ukraine,Ivano-Frankivsk,Ivano-Frankivsk Municipality,,Ivano-Frankivsk,48.9215,24.7097,Stop Corruption; Center for Civil Liberties,"On 5 June 2020, people protested in Ivano-Frankivsk demanding resignation of the Minister of Interior Arsen Avakov over failed police reform and lack of investigation into crimes committed by law enforcers. [size=no report]",0
