api_event_id,api_id,analyst_id,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,region,country,admin1,admin2,admin3,location,latitude,longitude,source,notes,fatalities,timestamp
7234764,1,TAS,Violence against civilians,Attack,Unidentified Armed Group (Iraq),,Civilians (International),Aid Workers (Iraq),Middle East,Iraq,Kirkuk,Kirkuk,,Kirkuk,35.4681,44.3922,National Iraqi News Agency; Al Sumaria TV,"On 26 September 2020, an unidentified armed group stabbed (by a knife) and killed an aid worker, an employee of the United Nations mission in Kirkuk, in the city of Kirkuk at the airport. Some sources stated that it might be a suicide and that security forces have started an investigation.",1,1601329862
7234766,1,TAS,Explosions/Remote violence,Grenade,Unidentified Armed Group (Iraq),,Civilians (Iraq),,Middle East,Iraq,Diyala,Khalis,,Al-Khalis,33.8512,44.5205,National Iraqi News Agency; Shafaaq News,"On 26 September 2020, a hand grenade of unknown source exploded in the Al-Hay Al-Asri on the outskirts of Al-Khalis district, north of Baqubah, wounding two civilians.",0,1601329862
7234767,1,TAS,Violence against civilians,Attack,Military Forces of Turkey (2016-),,Civilians (Iraq),,Middle East,Iraq,Dahuk,Zakho,,Batifa,37.1745,43.0123,Shafaaq News; Patriotic Union of Kurdistan,"On 26 September 2020, Turkish forces opened fire at the road linking the village of Rusi and Batifa district. No fatalities/injuries reported by the source.",0,1601329862
7251190,1,TAS,Protests,Peaceful protest,Protesters (Iraq),Labour Group (Iraq),,,Middle East,Iraq,Basrah,Basrah,,Basrah,30.533,47.7975,Al Mirbad,"On 26 September 2020, engineering graduates demonstrated at the Basrah Oil Company (Makina) in Basrah City, demanding to be appointed. [size=no report]",0,1603135662
7234865,1,TAS,Protests,Peaceful protest,Protesters (Iraq),Labour Group (Iraq),,,Middle East,Iraq,Kerbala,Kerbala,,Kerbala,32.5979,44.0165,Al Ahad TV,"On 25 September 2020, engineering department graduates organized protests in the city of Kerbala to demand job opportunities. [size=no report]",0,1601329862
7234867,1,TAS,Protests,Peaceful protest,Protesters (Iraq),,,,Middle East,Iraq,Muthanna,As Samawah,,As Samawah,31.3059,45.2799,Al Ahad TV,"On 25 September 2020, residents of the Al-Jarf area, north of the city of As Samawah, organized a protest against the decision to change the route of a service road in Al-Jarf. [size=no report]",0,1601329862
7240049,1,TAS,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Middle East,Iraq,Erbil,Mergasur,,Mergasur,36.8431,44.3009,People's Defense Forces,"On 25 September 2020, Turkish Military forces conducted airstrikes against PKK targets in Werxele area (Kurdish name) in Avasin (Mergasur) region of Erbil, Northern Iraq. No information on casualties was reported by source.",0,1601941241
7240050,1,TAS,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Middle East,Iraq,Dahuk,Amedi,,Chiya-e Gara,37.0394,43.5175,People's Defense Forces,"On 25 September 2020, Turkish army forces carried out airstrikes targeting PKK militants in the vicinity of Guze village (Kurdish name) in Gare mountain (Chiya-e Gara) region of Dahuk, Northern Iraq. No information on casualties was reported by source.",0,1601941241
7240051,1,TAS,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Middle East,Iraq,Dahuk,Amedi,,Amadiya,37.0921,43.4877,People's Defense Forces,"On 25 September 2020, Turkish army forces carried out artillery strikes targeting PKK militants on Ciyares hill (Kurdish name) in Zap region (Amadiya district) of Dahuk, Northern Iraq. Attacks reportedly set the area ablaze but no information on casualties was reported by source.",0,1601941241
7240052,1,TAS,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Middle East,Iraq,Dahuk,Amedi,,Bishilah,37.1618,43.2863,People's Defense Forces,"On 25 September 2020, Turkish Army forces carried out airstrikes targeting PKK militants in Besili (Bishilah) village of Amedi district, Dahuk, Northern Iraq. No information on casualties was reported by source.",0,1601941241
7234944,1,TAS,Protests,Peaceful protest,Protesters (Iraq),Turkmen Ethnic Group (Iraq),,,Middle East,Iraq,Kirkuk,Kirkuk,,Kirkuk,35.4681,44.3922,Liveuamap,"On 25 September 2020, Turkmen protesters organized a demonstration in the city of Kirkuk protesting the appointment of the new governor. [size=no report]",0,1601329862
7234980,1,TAS,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,,,Middle East,Iraq,Dahuk,Dahuk,,Dahuk,36.8671,42.9884,Patriotic Union of Kurdistan,"On 25 September 2020, Turkish forces launched artillery bombs at areas of Mount Khamtir, Zakho and Dahuk, setting fire to large areas of agricultural land and forests (3 events coded, one for each location). No fatalities/injuries reported by the source.",0,1601329862
7234982,1,TAS,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,,,Middle East,Iraq,Dahuk,Zakho,,Zakho,37.1487,42.6859,Patriotic Union of Kurdistan,"On 25 September 2020, Turkish forces launched artillery bombs at areas of Mount Khamtir, Zakho and Dahuk, setting fire to large areas of agricultural land and forests (3 events coded, one for each location). No fatalities/injuries reported by the source.",0,1601329862
7234983,1,TAS,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,,,Middle East,Iraq,Dahuk,Zakho,,Batifa,37.1745,43.0123,Patriotic Union of Kurdistan,"On 25 September 2020, Turkish warplanes bombed the area of Batifa in Zakho. No fatalities/injuries reported by the source.",0,1601329862
7234984,1,TAS,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,,,Middle East,Iraq,Dahuk,Amedi,,Barwari,37.2051,43.3414,Patriotic Union of Kurdistan,"On 25 September 2020, Turkish warplanes conducted airstrikes in the village of Barwari Bala (Barwari), Amedi, Dahuk, setting fire to large areas of agricultural land and forests. No fatalities/injuries reported by the source.",0,1601329862
7234999,1,TAS,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,,,Middle East,Iraq,Dahuk,Zakho,,Zakho,37.1487,42.6859,Shafaaq News,"On 25 September 2020, Turkish forces conducted airstrikes in Zakho district, causing great material damage to houses in the area of Betika. No fatalities/injuries reported by the source.",0,1601329862
7235000,1,TAS,Violence against civilians,Attack,Military Forces of Turkey (2016-),,Civilians (Iraq),,Middle East,Iraq,Dahuk,Dahuk,,Dahuk,36.8671,42.9884,Shafaaq News,"On 25 September 2020, Turkish forces opened fire at a border area in Dahuk. No fatalities/injuries reported by the source.",0,1601329862
7234754,1,TAS,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),,Civilians (Iraq),Farmers (Iraq),Middle East,Iraq,Diyala,Baquba,,Al-Zoor,33.8491,44.4721,Shafaaq News; Yaqein; National Iraqi News Agency; Al Maloomah; Al Sumaria TV; Anadolu Agency,"On 25 September 2020, an unidentified armed group exploded an IED on a farmer in his orchard near Al-Zoor (near Mansuriya), Baquba, Diyala, killing him instantly. Some sources reported that at least two other civilians, from the same family, were injured during the explosion.",1,1601329862
7234755,1,TAS,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,,,Middle East,Iraq,Dahuk,Amedi,,Baluite,36.99,43.46,Shafaaq News; Al Maloomah,"On 25 September 2020, Turkish military forces conducted airstrikes in the village of Baluite, around the summit of ""Bismati"" in the mountain range of ""Karah"" that overlooks Amadiya district. No fatalities/injuries reported by the source.",0,1601329862
