api_event_id,api_id,analyst_id,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,region,country,admin1,admin2,admin3,location,latitude,longitude,source,notes,fatalities,timestamp
7256832,1,TAS,Explosions/Remote violence,Air/drone strike,Global Coalition Against Daesh,Police Forces of Iraq (2020-) Iraqi National Intelligence Service,Islamic State (Iraq),,Middle East,Iraq,Ninewa,Mosul,,Shurah,35.9927,43.2206,Al Sumaria TV; Ayn Al Iraq News,"On 24 October 2020, global coalition forces, in coordination with Iraqi intelligence, conducted an airstrike targeting IS positions in Shurah in Ninewa. The airstrike resulted in the destruction of IS tunnels and dens. No fatalities/injuries were reported by the source.",0,1603742173
7256841,1,TAS,Battles,Armed clash,Military Forces of Iraq (2020-),,Islamic State (Iraq),,Middle East,Iraq,Diyala,Khalis,,Al Azim,34.2754,44.5385,Al Maloomah; National Iraqi News Agency,"On 24 October 2020, Iraqi military forces thwarted an IS attack in the Albu Awad area, Azim district, Diyala. One soldier was wounded in the armed clash and IS militants were able to escape.",0,1603742174
7256850,1,TAS,Strategic developments,Arrests,Police Forces of Iraq (2020-) Iraqi National Intelligence Service,Police Forces of Iraq (2020-) Asayish,Islamic State (Iraq),,Middle East,Iraq,Baghdad,Baghdad,,Baghdad,33.3248,44.4213,Al Ahad TV; Baghdad Today; Watan (Iraq),"Arrests: On 24 October 2020, intelligence forces, in collaboration with Asayish forces, arrested a prominent IS figure who was in charge of major IS attacks in Baghdad.",0,1603742174
7263513,1,TAS,Strategic developments,Arrests,Police Forces of Iraq (2020-),,Islamic State (Iraq),,Middle East,Iraq,Ninewa,Mosul,,Al Qayyarah,35.7993,43.2945,National Iraqi News Agency,"Arrests: On 24 October 2020, security forces arrested a security official in IS in Qayyarah area in Mosul.",0,1603755474
7256865,1,TAS,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),,Civilians (Iraq),Judges (Iraq),Middle East,Iraq,Missan,Amara,,Amara,31.8356,47.1448,Baghdad Today; National Iraqi News Agency; All Iraq News Agency,"On 24 October 2020, an unidentified armed group targeted the house of a judge in Mealemeen neighbourhood, Amara, Missan, with an IED. The explosion caused material damage only.",0,1603742174
7256868,1,TAS,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),,Global Coalition Against Daesh,,Middle East,Iraq,Basrah,Basrah,,Basrah,30.533,47.7975,Baghdad Post; Al Mawqif; Al Sumaria TV; Watan (Iraq),"On 24 October 2020, an unidentified IED exploded targeting a logistic convoy operating for the global coalition in Basrah province. Source reported that there were no fatalities.",0,1603742174
7256981,1,TAS,Battles,Armed clash,Islamic State (Iraq),,Military Forces of Iraq (2020-),,Middle East,Iraq,Baghdad,Al Tarmia,,At Tarmiyah,33.6643,44.3737,Al Ahad TV,"On 24 October 2020, a force affiliated with the sixth division in the army came under fire from an IS sniper weapon in At Tarmiyah area, north of Baghdad, which led to the wounding of a soldier",0,1603742174
7256989,1,TAS,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),,,,Middle East,Iraq,Basrah,Basrah,,Basrah,30.533,47.7975,Al Mirbad,"On 24 October 2020, an unidentified armed group planted an IED in a electric generator in Al Ableh neighbourhood in the city of Basrah, which exploded destroying the generator.",0,1603742174
7257004,1,TAS,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),,Civilians (Iraq),,Middle East,Iraq,Basrah,Basrah,,Basrah,30.533,47.7975,Al Mirbad,"On 24 October 2020, the house of a civilian activist in the city of Basrah was targeted by an IED planted by an unidentified armed group, the explosion resulted in material damage only.",0,1603742174
7257019,1,TAS,Protests,Peaceful protest,Protesters (Iraq),,,,Middle East,Iraq,Thi-Qar,Nassriya,,Nassriya,31.058,46.2573,Al Mirbad,"On 24 October 2020, thousands of protesters organized a demonstration in the city of Nassriya demanding political reform on the day before the October 25 demonstrations anniversary. [size=thousands]",0,1603742174
7257026,1,TAS,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),,Civilians (Iraq),Labour Group (Iraq); Global Coalition Against Daesh,Middle East,Iraq,Sala al-Din,Tikrit,,Al Rayyash,34.7688,43.5324,Baghdad Post,"Around 24 October 2020 (as reported), an unidentified IED exploded targeting a convoy carrying logistical materials for the Global Coalition by a contractor (Iraqi company and drivers) in the village of Al Rayyash, Sala al-Din, wounding the driver.",0,1603742174
7257067,1,TAS,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Iraq),,Civilians (Iraq),,Middle East,Iraq,Diyala,Khanaqin,,Mansuriyah,34.0807,44.959,National Iraqi News Agency,"On 24 October 2020, mortar shelling launched by an unidentified armed group on the outskirts of Mansuriyah, northeast Baquba, injured a female civilian.",0,1603742174
7257071,1,TAS,Battles,Armed clash,Islamic State (Iraq),,Police Forces of Iraq (2020-),,Middle East,Iraq,Kirkuk,Haweeja,,Haweeja,35.3271,43.7694,National Iraqi News Agency,"On 24 October 2020, IS militants attacked a security post of the federal police in the village of Al-Nakara in Haweeja district, wounding one police officer.",0,1603742174
7256833,1,TAS,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Middle East,Iraq,Dahuk,Amedi,,Metina,37.1683,43.2709,TRT Haber; Haber 7; Anadolu Agency; Takvim,"Around 23 October 2020 (as reported), 2 PKK militants were killed or injured during the Turkish Army airstrikes against PKK militants in Zap region (Amadiya district) of Dahuk, Northern Iraq.",0,1603742173
7257091,1,TAS,Strategic developments,Change to group/activity,Police Forces of Iraq (2020-),,,,Middle East,Iraq,Baghdad,Baghdad,,Baghdad,33.3248,44.4213,Shafaaq News,"Movement of forces: On 23 October 2020, police forces were deployed in the streets of the city of Baghdad in preparation for expected demonstrations.",0,1603742174
7257095,1,TAS,Strategic developments,Change to group/activity,Military Forces of Iraq (2020-) Popular Mobilization Forces,Badr Organization,,,Middle East,Iraq,Diyala,Khanaqin,,Khanaqin,34.3482,45.3906,Shafaaq News,"Movement of forces: On 23 October 2020, units of the 1st brigade of PMF (Badr Organization) were deployed on the Khanaqin, Naft Khana road to secure it from IS activity.",0,1603742174
7256845,1,TAS,Battles,Armed clash,Military Forces of Iraq (2020-) Popular Mobilization Forces,Badr Organization,Islamic State (Iraq),,Middle East,Iraq,Sala al-Din,Daur,,Aradi al Ayth,34.3933,44.3787,Xinhua; Baghdad Today; National Iraqi News Agency,"On 23 October 2020, PMF forces of the 22nd brigade (Badr Organization) engaged in armed clash with IS militants in al Ayth, Sala al-Din, resulting in the killing of 2 PMF fighters.",2,1603742174
7256849,1,TAS,Battles,Armed clash,Unidentified Tribal Militia (Iraq),,Unidentified Tribal Militia (Iraq),,Middle East,Iraq,Baghdad,Rusafa,,Baghdad - Rusafa,33.3473,44.4116,National Iraqi News Agency; Basnews,"On 23 October 2020, an armed tribal conflict erupted in the Fadhiliya (Faziliyah) neighbourhood, Baghdad - Rusafa. No fatalities/injuries were reported by the source; one source reported multiple casualties without providing details.",0,1603742174
7256854,1,TAS,Violence against civilians,Attack,Unidentified Armed Group (Iraq),,Civilians (Iraq),,Middle East,Iraq,Diyala,Muqdadiyah,,Abu Saida,33.9289,44.7761,Yaqein; National Iraqi News Agency,"On 23 October 2020, unidentified gunmen assassinated a civilian by shooting at his car while he was returning to his home in Abi Saida district, northeast of Baqubah, killing him immediately.",1,1603742174
7256870,1,TAS,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),,Military Forces of Iraq (2020-),,Middle East,Iraq,Diyala,Baquba,,Qaryat Al Tawakul,33.6024,44.566,Al Ahad TV; Al Maloomah; Al Sumaria TV; Baghdad Today; Baghdad Post; Shafaaq News; Patriotic Union of Kurdistan; National Iraqi News Agency; Basnews; Yaqein,"On 23 October 2020, an explosive device placed on the side of an agricultural road near the village of Tawakul in the outskirts of Al-Muqdadiyah exploded on an army patrol, wounding an officer and at least one soldier with varying wounds.",0,1603742174
7256988,1,TAS,Battles,Armed clash,Police Forces of Iraq (2020-) Iraqi National Intelligence Service,Military Forces of Iraq (2020-),Islamic State (Iraq),,Middle East,Iraq,Anbar,Falluja,,Karma,33.4266,43.9347,Al Maloomah,"On 23 October 2020, intelligence division in the tenth division, in cooperation with the second regiment, the 40th Infantry brigade, which carried out a pre-emptive security campaign targeting different areas of the Karma district, east of Fallujah, through which it managed to arrest an IS militant.",0,1603742174
7256995,1,TAS,Protests,Peaceful protest,Protesters (Iraq),,,,Middle East,Iraq,Qadissiya,Diwaniya,,Diwaniya,31.9929,44.9255,Al Mirbad,"On 23 October 2020, dozens of demonstrators from Al-Diwaniya city organized a march from Al-Mawakeb Al-Husseiniya Street to Al-Sa'a Square to gather for demonstrations on October 25 in Baghdad. [size=dozens]",0,1603742174
7257003,1,TAS,Protests,Peaceful protest,Protesters (Iraq),,,,Middle East,Iraq,Najaf,Najaf,,Najaf,32.0259,44.3462,Al Mirbad,"On 23 October 2020, a large number of citizens from several governorates organized a protest in the city of Najaf to demand religious authorities to intervene to amend Article 57 of the Personal Status Law No. 188 of 1959, specifically with regard to child custody and care in cases of divorce. [size=no report]",0,1603742174
7261107,1,TAS,Strategic developments,Change to group/activity,Military Forces of Iraq (2020-),,,,Middle East,Iraq,Diyala,Baquba,,Baquba,33.754,44.6052,Baghdad Today,"Movement of forces: On 23 October 2020, around 150 soldiers from the Iraqi army were sent to Diyala in an attempt to eliminate IS presence in the province.",0,1603755454
7257023,1,TAS,Violence against civilians,Attack,Unidentified Armed Group (Iraq),,Civilians (Iraq),,Middle East,Iraq,Baghdad,Sadr City,,Baghdad - Sadr City,33.3912,44.4575,Al Sumaria TV,"On 23 October 2020, gunmen killed a civilian and wounded his son, by shooting at them in the Husseiniya area of Al-Ma'amil, Baghdad - Sadr City.",1,1603742174
7257092,1,TAS,Explosions/Remote violence,Shelling/artillery/missile attack,Islamic State (Iraq),,,,Middle East,Iraq,Diyala,Khanaqin,,Umm al Hintah,34.4327,45.1639,Shafaaq News,"On 22 October 2020, IS launched mortar shells at the village of Umm al Hintah. No fatalities/injuries were reported by the source.",0,1603742174
7256837,1,TAS,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,,,Middle East,Iraq,Dahuk,Amedi,,Sargali,37.1068,43.571,Shafaaq News; BBC News,"On 22 October 2020, Turkish military forces conducted an airstrike in the village of Sargali (Sergeli), Dahuk. Source reported that there were no fatalities.",0,1603742174
7256838,1,TAS,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,,,Middle East,Iraq,Dahuk,Amedi,,Sigiri,37.0819,43.5471,Shafaaq News; BBC News,"On 22 October 2020, Turkish military forces conducted an airstrike in the village of Sigiri (Sekeri), Dahuk. Source reported that there were no fatalities.",0,1603742174
7256839,1,TAS,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,,,Middle East,Iraq,Erbil,Soran,,Merga Rash,36.91,44.63,Shafaaq News; All Iraq News Agency; Al Maloomah,"On 22 October 2020, Turkish military helicopters launched missile attacks on the village of Merga Rash (Mirka Ras), north of Erbil. No fatalities/injuries were reported by the source.",0,1603742174
7256840,1,TAS,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,,,Middle East,Iraq,Erbil,Soran,,Soran,36.6543,44.5377,All Iraq News Agency; Al Maloomah; Shafaaq News,"On 22 October 2020, Turkish military helicopters launched missile attacks on the village of Soran (Siran), north of Erbil. No fatalities/injuries were reported by the source.",0,1603742174
7256843,1,TAS,Battles,Armed clash,Military Forces of Iraq (2020-) Counter-Terrorism Service,Military Forces of Iraq (2020-); Police Forces of Iraq (2020-) Iraqi National Intelligence Service,Islamic State (Iraq),,Middle East,Iraq,Kirkuk,Haweeja,,Wadi Zaghaytun,34.7767,44.3056,Baghdad Today; Shafaaq News; Al Maloomah,"On 22 October 2020, CTS forces, in coordination with military forces and Iraqi intelligence, conducted an airdrop operation in the Zghitoun Valley, west of Kirkuk governorate, which resulted in the killing of one of the leaders of IS.",1,1603742174
7256846,1,TAS,Battles,Armed clash,Military Forces of Iraq (2020-) Popular Mobilization Forces,Umm Al Hintah Communal Militia (Iraq),Islamic State (Iraq),,Middle East,Iraq,Diyala,Khanaqin,,Umm al Hintah,34.4327,45.1639,Al Maloomah; Shafaaq News; National Iraqi News Agency; Baghdad Today,"On 22 October 2020, joint forces, including PMF and Umm Al Hintah communal militia, thwarted an attempt by IS militants to infiltrate a security belt Sheikh Baba, leading to a chase and an armed clash in the outskirts of the village of Umm al Hintah. One source mentioned that an IS militant was killed during the armed clash, but others reported injuries only.",0,1603742174
7256848,1,TAS,Battles,Armed clash,Police Forces of Iraq (2020-) Iraqi National Intelligence Service,Military Forces of Iraq (2020-),Islamic State (Iraq),,Middle East,Iraq,Kirkuk,Daquq,,Daquq,35.1392,44.4491,Baghdad Today; All Iraq News Agency,"On 22 October 2020, Military Intelligence Division detachments in the 45th Brigade, the advanced headquarters for Kirkuk operations, managed to overthrow a detachment working for IS in a qualitative operation in Daquq district, Kirkuk. Four IS militants were arrested during the clash.",0,1603742174
7256856,1,TAS,Strategic developments,Change to group/activity,Military Forces of Iraq (2020-),,,,Middle East,Iraq,Basrah,Basrah,,Basrah,30.533,47.7975,Watan (Iraq); Baghdad Post; All Iraq News Agency,"Movement of forces: On 22 October 2020, Iraqi military forces announced the temporary pause of the ""Sincere Promise"" operation in the province of Basrah, which was focusing on seizing weapons in the area, in an effort to prepare for the demonstrations expected to take place in October and November. The operation will resume on 25 November, 2020.",0,1603742174
7256866,1,TAS,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),,Civilians (Iraq),,Middle East,Iraq,Anbar,Ramadi,,Ramadi,33.4206,43.3078,Al Sumaria TV; Yaqein,"On 22 October 2020, an unidentified booby-trapped car exploded under the Albo Hais/Thiab bridge in Ramadi city, injuring one civilian.",0,1603742174
7256869,1,TAS,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),,Islamic State (Iraq),,Middle East,Iraq,Sala al-Din,Baiji,,Al Moqatta' Village,34.829,43.1204,All Iraq News Agency; Xinhua; Baghdad Today; Shafaaq News; Liveuamap; Al Sumaria TV; National Iraqi News Agency,"Around 22 October 2020 (as reported), an unidentified explosive device exploded on the vehicle of a pickup truck carrying four IS militants in Al Moqatta' Village (Al-Mukatta area) near Al-Sukkarat Bridge in Salah Al-Din, killing all 4 of them.",4,1603742174
7256979,1,TAS,Protests,Peaceful protest,Protesters (Iraq),Labour Group (Iraq),,,Middle East,Iraq,Basrah,Basrah,,Basrah,30.533,47.7975,Al Ahad TV,"On 22 October 2020, a number of engineering graduates organized a protest to demand job opportunities in the city of Basrah in front of Basrah Oil Company after an unsuccessful 2-month strike. [size=no report]",0,1603742174
7256980,1,TAS,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,,,Middle East,Iraq,Erbil,Choman,,Silsilat Jibal Qandil,36.5171,45.0199,Al Ahad TV,"On 22 October 2020, Turkish military forces conducted an airstrike in Silsilat Jibal Qandil, Erbil. Source reported that there were no fatalities; only material damage.",0,1603742174
7256984,1,TAS,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),,,,Middle East,Iraq,Anbar,Ramadi,,Albu Faraj,33.4485,43.2913,Al Maloomah,"On 22 October 2020, an unidentified booby-trapped car exploded near the Palestinian Bridge in the Albu Faraj area in Anbar governorate. Source reported that there were no fatalities.",0,1603742174
7256990,1,TAS,Protests,Peaceful protest,Protesters (Iraq),Labour Group (Iraq),,,Middle East,Iraq,Qadissiya,Diwaniya,,Diwaniya,31.9929,44.9255,Al Mirbad,"On 22 October 2020, dozens of graduates of colleges of engineering in the city of Diwaniya organized a protest in front of the Petroleum Products Company building in Diwaniya city for the second day in a row to demand job opportunities in the Ministry of Oil. [size=dozens]",0,1603742174
7256991,1,TAS,Protests,Peaceful protest,Protesters (Iraq),,,,Middle East,Iraq,Basrah,Basrah,,Basrah,30.533,47.7975,Al Mirbad,"On 22 October 2020, a number of Basrah citizens, who called themselves the ""People's Control Committee,"" organized a demonstration in front of the Basrah Education Directorate in the city of Basrah, refusing to infringe on the administrative positions , and at the same time they demanded the dismissal of the Basrah Education Director. [size=no report]",0,1603742174
7257005,1,TAS,Protests,Peaceful protest,Protesters (Iraq),Labour Group (Iraq),,,Middle East,Iraq,Basrah,Basrah,,Basrah,30.533,47.7975,Al Mirbad,"On 22 October 2020, a number of cadres of the Basrah Education Directorate organized a protest stand inside the directorate's headquarters in the city of Basrah, rejecting any tribal interference in the directorate's administrative affairs. [size=no report]",0,1603742174
7257011,1,TAS,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),,,,Middle East,Iraq,Anbar,Ramadi,,Tall Al Jurayshi,33.5057,43.303,Al Mirbad,"On 22 October 2020, an unidentified car bomb parked on the side of the road in Al-Jarishi area, north of the city of Ramadi, exploded, causing no fatalities or injuries.",0,1603742174
7265974,1,TAS,Violence against civilians,Attack,Police Forces of Iraq (2020-),,Civilians (Iraq),Prisoners (Iraq),Middle East,Iraq,Baghdad,Kadhimiya,,Taji,33.529,44.278,Yaqein,"Around 22 October 2020 (as reported), a detainee from the city of Fallujah in Al-Anbar governorate, was killed as a result of severe and systematic torture in Taji prison after he served 3 years of his sentence.",1,1603755494
7257024,1,TAS,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,,,Middle East,Iraq,Dahuk,Amedi,,Kani Masi,37.2267,43.4386,ANF News,"On 22 October 2020, Turkish Army forces carried out airstrikes in Gabnerke village area (Kurdish name) in Kani Masi sub-district of Dahuk, Northern Iraq. No information on casualties was reported.",0,1603742174
7257078,1,TAS,Battles,Armed clash,PKK: Kurdistan Workers Party,,Military Forces of Turkey (2016-),,Middle East,Iraq,Dahuk,Zakho,,Haftanin,37.3128,43.0203,People's Defense Forces,"On 22 October 2020, PKK militants attacked Turkish army units positioned in Tepe Dupisk area (Kurdish name) in Haftanin region of Dahuk, Northern Iraq, killing 2 soldiers.",2,1603742174
7257082,1,TAS,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,Civilians (Iraq),Middle East,Iraq,Dahuk,Amedi,,Amadiya,37.0921,43.4877,People's Defense Forces,"On 22 October 2020, Turkish warplanes conducted airstrikes targeting PKK in Tepe Amediye and Kunishka areas (Kurdish name) in Zap region (Amadiya district) of Dahuk, Northern Iraq. Source reported that no casualties occurred but airstrikes reportedly set groves and farmlands in the area ablaze.",0,1603742174
7257083,1,TAS,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Middle East,Iraq,Erbil,Mergasur,,Mergasur,36.8431,44.3009,People's Defense Forces,"On 22 October 2020, Turkish Military forces conducted airstrikes against PKK targets in Werxele area (Kurdish name) in Avasin (Mergasur) region of Erbil, Northern Iraq. Source reported that no casualties occurred.",0,1603742174
7257088,1,TAS,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Middle East,Iraq,Erbil,Choman,,Mawnan,36.5005,44.8949,People's Defense Forces,"On 21 October 2020, overnight, Turkish Military forces conducted airstrikes against PKK targets in Mawnan village in Choman district of Erbil, Northern Iraq. Source reported that no casualties occurred.",0,1603742174
7257094,1,TAS,Strategic developments,Change to group/activity,PKK: Kurdistan Workers Party,,,,Middle East,Iraq,Sulaymaniyah,Sharbazher,,Sharbazher,35.7567,45.6566,Shafaaq News,"Movement of forces: Around 21 October 2020 (as reported), PKK forces intensified its movements in the mountains in the district of Sharbhazer, Sulaymaniyah.",0,1603742174
7256842,1,TAS,Battles,Armed clash,Military Forces of Iraq (2020-) Counter-Terrorism Service,Global Coalition Against Daesh; Police Forces of Iraq (2020-) Iraqi National Intelligence Service,Islamic State (Iraq),,Middle East,Iraq,Kirkuk,Haweeja,,Wadi Zaghaytun,34.7767,44.3056,Radio Nawa; Baghdad Today; Al Maloomah; All Iraq News Agency,"On 21 October 2020, CTS forces, in coordination with coalition forces and Iraqi intelligence, conducted an airdrop operation in the Zaghaytun Valley, west of Kirkuk governorate, which led to the arrest of 3 IS militants and the destruction of IS tunnels and dens.",0,1603742174
7256844,1,TAS,Battles,Armed clash,Military Forces of Iraq (2020-) Counter-Terrorism Service,Police Forces of Iraq (2020-) Iraqi National Intelligence Service; Police Forces of Iraq (2020-),Islamic State (Iraq),,Middle East,Iraq,Diyala,Baquba,,Al Abbarah,33.8142,44.6577,Al Maloomah; Xinhua; National Iraqi News Agency; Patriotic Union of Kurdistan; Al Ahad TV; Baghdad Today,"On 21 October 2020, an intelligence and CTS force in Diyala, in coordination with police detachments, killed 2 IS militants in the orchards of Al-Abara district in an armed clash. The IS militants were involved in detonating explosive devices and targeting simple farmers in the past month.",2,1603742174
7256852,1,TAS,Violence against civilians,Attack,Islamic State (Iraq),,Civilians (Iraq),,Middle East,Iraq,Diyala,Khanaqin,,Jisr Hulwan,34.3348,45.2133,Xinhua; Al Ahad TV; Yaqein; Sotaliraq; Baghdad Post; National Iraqi News Agency; Liveuamap; Shafaaq News; Al Sumaria TV; Al Maloomah; Baghdad Today,"On 21 October 2020, a civilian vehicle was subjected to an attack by IS militants near the Jisr Hulwan area (75 km northeast of Baquba), Khanaqin district, which resulted in 3 fatalities and 2 injuries. IS militants set up a fake checkpoint and stopped the car, shooting 3 male passengers and releasing the female passengers.",3,1603742174
7256855,1,TAS,Violence against civilians,Attack,Unidentified Armed Group (Iraq),,Civilians (Iraq),,Middle East,Iraq,Kirkuk,Kirkuk,,Kirkuk,35.4681,44.3922,National Iraqi News Agency; Shafaaq News,"On 21 October 2020, unidentified armed men shot and killed a civilian in the city of Kirkuk.",1,1603742174
7256857,1,TAS,Strategic developments,Disrupted weapons use,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Middle East,Iraq,Erbil,Soran,,Wadi Khakurik,36.9599,44.6039,TRT Haber; Ihlas News Agency,"Weapons seizure: Around 21 October 2020 (as reported), Turkish army forces seized a number of weapons allegedly belonging to PKK, during the security operations carried out in Hakurk (Wadi Khakurik) region of Erbil, Northern Iraq. The weapons seized included one rocket launcher, one mortar, 59 mortar shells, 7 artillery shells, total 2640 rounds of ammunition belonging to various weapons.",0,1603742174
7256863,1,TAS,Explosions/Remote violence,Remote explosive/landmine/IED,Islamic State (Iraq),,Military Forces of Iraq (2020-),,Middle East,Iraq,Kirkuk,Daquq,,Qaryat Tamur,34.9031,44.3908,National Iraqi News Agency; Basnews,"On 21 October 2020, suspected IS militants planted IED targeting an Iraqi military vehicle passing through a road near Tamour village of Daquq, south of Kirkuk province. The explosion killed 1 soldier and injured 2 others.",1,1603742174
7256864,1,TAS,Explosions/Remote violence,Remote explosive/landmine/IED,Islamic State (Iraq),,Military Forces of Iraq (2020-),,Middle East,Iraq,Kirkuk,Daquq,,Daquq,35.1392,44.4491,ROJ News; Shafaaq News; Al Sumaria TV,"On 21 October 2020, an explosive device of IS remnants exploded on a military patrol within the Daquq district in Kirkuk, killing one soldier and wounding two others.",1,1603742174
7256982,1,TAS,Protests,Peaceful protest,Protesters (Iraq),Labour Group (Iraq),,,Middle East,Iraq,Baghdad,Kadhimiya,,Baghdad - Kadhimiya,33.3805,44.3462,Al Ahad TV,"On 21 October 2020, a number of political science graduates from various governorates organized a protest in Hurriya square in front of the Ministry of Foreign Affairs, Baghdad - Kadhimiya, demanding job opportunities after an unsuccessful strike that lasted over 75 days. [size=no report]",0,1603742174
7256986,1,TAS,Strategic developments,Arrests,Police Forces of Iraq (2020-) Iraqi National Intelligence Service,,Islamic State (Iraq),,Middle East,Iraq,Anbar,Falluja,,Karma,33.4266,43.9347,Al Maloomah,"Arrests: On 21 October 2020, a security force from the Military Intelligence Division detachments in the Tenth Division and the Second Regiment of the 40th Infantry Brigade of the Division ambushed a prominent member of the IS and managed to arrest him while he was trying to enter the Karma district, east of Fallujah, without any resistance.",0,1603742174
7256992,1,TAS,Protests,Peaceful protest,Protesters (Iraq),Labour Group (Iraq),,,Middle East,Iraq,Muthanna,As Samawah,,As Samawah,31.3059,45.2799,Al Mirbad,"On 21 October 2020, dozens of graduates of colleges of engineering in Muthanna organized a demonstration in the city of As Samawah to demand job opportunities in government institutions. [size=dozens]",0,1603742174
7257020,1,TAS,Protests,Peaceful protest,Protesters (Iraq),Labour Group (Iraq),,,Middle East,Iraq,Qadissiya,Diwaniya,,Diwaniya,31.9929,44.9255,Al Mirbad,"On 21 October 2020, dozens of graduates of colleges of engineering in the city of Diwaniya organized a protest in front of the Petroleum Products Company building in Diwaniyah city to demand job opportunities in the Ministry of Oil. [size=dozens]",0,1603742174
7257022,1,TAS,Battles,Armed clash,Unidentified Armed Group (Iraq),,Police Forces of Iraq (2020-),,Middle East,Iraq,Anbar,Falluja,,Karma,33.4266,43.9347,Al Sumaria TV,"On 21 October 2020, an unidentified armed group shot at police affiliates in the Mizan Awad area near Karma Island 28 Bridge, wounding two officers.",0,1603742174
7257031,1,TAS,Explosions/Remote violence,Shelling/artillery/missile attack,Islamic State (Iraq),,Civilians (Iraq),,Middle East,Iraq,Diyala,Khanaqin,,Jalawla,34.273,45.1662,Basnews,"On 21 October 2020, IS launched mortar shells near Halwan checkpoint, Jalawla district, Diyala, killing 3 civilians and wounding 2 others.",3,1603742174
7257075,1,TAS,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Middle East,Iraq,Dahuk,Amedi,,Amadiya,37.0921,43.4877,People's Defense Forces,"On 21 October 2020, Turkish warplanes conducted airstrikes targeting PKK in Tepe Amediye area (Kurdish name) in Zap region (Amadiya district) of Dahuk, Northern Iraq. Source reported that no casualties occurred.",0,1603742174
7257081,1,TAS,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Middle East,Iraq,Erbil,Choman,,Silsilat Jibal Qandil,36.5171,45.0199,People's Defense Forces,"On 21 October 2020, overnight, Turkish Military forces conducted airstrikes against PKK targets in Kozine, Sehit Harun, Kalatuka and Bole areas and Sex Nasir Hill (Kurdish names) in Kandil mountain region (Silsilat Jibal Qandil) of Erbil, Northern Iraq. Source reported that no casualties occurred but airstrikes reportedly set groves and farmlands in the area ablaze.",0,1603742174
7256831,1,TAS,Violence against civilians,Abduction/forced disappearance,Islamic State (Iraq),,Civilians (Iraq),,Middle East,Iraq,Diyala,Khanaqin,,Khanaqin,34.3482,45.3906,Baghdad Post; Shafaaq News,"On 21 October 2020, IS militants kidnapped 3 civilians in Khanaqin district before releasing them later in the day.",0,1603742173
7257087,1,TAS,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Middle East,Iraq,Dahuk,Amedi,,Chiya-e Gara,37.0394,43.5175,People's Defense Forces,"On 21 October 2020, Turkish army forces conducted airstrikes against PKK militants in Cemrobotki village area (Kurdish name) in Gare region (Chiya-e Gara) of Dahuk, Northern Iraq. Source reported that no casualties occurred.",0,1603742174
7256834,1,TAS,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Middle East,Iraq,Dahuk,Amedi,,Amadiya,37.0921,43.4877,A Haber; Anadolu Agency; Karar; Baghdad Today; Haber 7,"Around 20 October 2020, 3 PKK militants were killed or injured during the Turkish Army airstrikes in Zap region (Amadiya district) of Dahuk, Northern Iraq.",0,1603742173
