event_id_no_cnty,event_date,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,region,country,admin1,admin2,admin3,location,latitude,longitude,source,notes,fatalities
40737,04 October 2020,Explosions/Remote violence,Shelling/artillery/missile attack,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Donetsk,Volnovasky,,Vodyane,47.1478,37.7881,JFO HQ press centre,"On 4 October 2020, the NAF rebel forces fired grenade launchers at the governmental positions near Vodyane, Donetsk.",0
40738,04 October 2020,Battles,Armed clash,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Donetsk,Toretsk Municipality,,Shumy,48.3802,37.9339,JFO HQ press centre,"On 4 October 2020, the NAF rebel forces fired grenade launchers and small arms at the governmental positions near Shumy, Donetsk.",0
40735,04 October 2020,Battles,Armed clash,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Donetsk,Avdiivka Municipality,,Avdiivka,48.1394,37.7497,JFO HQ press centre,"On 4 October 2020, the NAF rebel forces fired small arms at the governmental positions near Avdiivka, Donetsk.",0
40969,04 October 2020,Protests,Peaceful protest,Protesters (Ukraine),Students (Ukraine),,,Europe,Ukraine,Kharkiv,Kharkiv,,Kharkiv,49.9808,36.2527,Obyektiv Novosti,"On 4 October 2020, about 50 people, including students, protested in Kharkiv against city's municipal guards accused of beating two students a month ago. [size=about 50]",0
40736,04 October 2020,Battles,Armed clash,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Luhansk,Popasniansky,,Katerynivka,48.6691,38.4849,JFO HQ press centre,"On 4 October 2020, the NAF rebel forces fired small arms at the governmental positions near Katerynivka, Luhansk.",0
40742,04 October 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,,,Europe,Ukraine,Donetsk,Donetsk,,Zhabichevo,48.0617,37.6975,OSCE SMM-Ukraine,"On 4 October 2020, the OSCE SMM observed a total of 1 explosions involving unknown weapons near Zhabichevo.",0
40743,04 October 2020,Battles,Armed clash,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Donetsk,Yasynuvata,,Pisky,48.0669,37.6664,OSCE SMM-Ukraine,"On 4 October 2020, the OSCE SMM observed a total of 7 shots involving small arms near Pisky.",0
40744,04 October 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,,,Europe,Ukraine,Luhansk,Stanychno-Luhansy,,Mykolaivka,48.5887,39.5143,OSCE SMM-Ukraine,"On 4 October 2020, the OSCE SMM observed a total of 1 explosions involving unknown weapons near Mykolaivka.",0
40734,04 October 2020,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Ukraine),,Civilians (Ukraine),,Europe,Ukraine,Luhansk,Slovyanoserbsk,,Slovyanoserbsk,48.6978,38.9813,Sprotyv,"On 4 October 2020, a civilian man was wounded in an explosion of a landmine near Slovyanoserbsk, Luhansk.",0
40695,03 October 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,Donbass People's Militia,Europe,Ukraine,Donetsk,Volnovasky,,Kominternove,47.1745,37.811,DPR Armed Forces Press Service,"On 3 October 2020, the Ukrainian Forces fired grenade launchers at the positions of the Donbass People's Militia in the area of Kominternove, Donetsk.",0
40694,03 October 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,Donbass People's Militia,Europe,Ukraine,Donetsk,Yasynuvata,,Spartak,48.079,37.7635,DPR Armed Forces Press Service,"On 3 October 2020, the Ukrainian Forces fired grenade launchers at the positions of the Donbass People's Militia in the area of Spartak, Donetsk.",0
40658,03 October 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,Luhansk People's Militia,Europe,Ukraine,Donetsk,Bakhmut,,Lozove,48.3844,38.2312,LPR People's Militia Press Service,"On 3 October 2020, the Ukrainian Forces fired grenade launchers at the positions of the Luhansk People's Militia in the area of Lozove, Donetsk.",0
40657,03 October 2020,Battles,Armed clash,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,Luhansk People's Militia,Europe,Ukraine,Luhansk,Popasniansky,,Zolote-5,48.6719,38.56,LPR People's Militia Press Service,"On 3 October 2020, the Ukrainian Forces fired small arms at the positions of the Luhansk People's Militia in the area of Zolote-5, Luhansk.",0
40719,03 October 2020,Battles,Armed clash,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,,Europe,Ukraine,Donetsk,Donetsk,,Trudovskiye,47.9451,37.5465,OSCE SMM-Ukraine,"On 3 October 2020, the OSCE SMM observed a total of 10 shots involving small arms near Trudovskiye.",0
40720,03 October 2020,Explosions/Remote violence,Shelling/artillery/missile attack,NAF: United Armed Forces of Novorossiya,,,,Europe,Ukraine,Luhansk,Popasniansky,,Novozvanivka,48.5837,38.3572,OSCE SMM-Ukraine,"On 3 October 2020, the OSCE SMM observed a total of 1 explosions involving unknown weapons near Novozvanivka.",0
